company,state,ticker,exchange,profit_MUSD,debt_MUSD,assets_MUSD,ipo_date,ipo_fees_MUSD,ipo_price_USDshare,ipo_amount_MUSD,industry,is_synthetic
Bloomin' Brands Inc.,Florida,BLMN,Nasdaq,0.0,98.4,396.2,2012-08-08,12.05,11.0,176.0,Retail,1
Ameresco Inc.,Massachusetts,AMRC,New York,0.0,0.6,90.1,2010-07-22,10.21,10.0,86.968,Machinery,1
Alimera Sciences Inc.,Georgia,ALIM,Nasdaq,0.0,1.7,533.5,2010-04-22,9.47,11.0,72.05,Health,1
Empire State Realty Trust Inc.,New York,ESRT,New York,315.4,348.8,3528.3,2013-10-02,7.94,13.0,929.5,Finance,1
Sps Commerce Inc.,Minnesota,SPSC,Nasdaq,15.7,32.1,174.6,2010-04-22,8.82,12.0,49.16,IT,1
Papa Murphy'S Holdings Inc.,Washington,FRSH,Nasdaq,11.8,17.4,84.1,2014-05-02,10.1,11.0,64.167,Food,1
Alibaba Group Holding Ltd,Maine,BABA,New York,14.4,0.2,36.8,2014-09-19,11.67,68.0,21767.215,Retail,1
Mplx Lp,Ohio,MPLX,New York,170.9,197.1,434.7,2012-10-26,5.94,22.0,380.6,Oil,1
Superior Drilling Products Inc.,Utah,SDPI,American,0.0,2.3,150.8,2014-05-23,7.01,4.0,27.0,Oil,1
Sterling Bancorp Inc.,Michigan,SBT,Nasdaq,4.3,1713.9,1718.2,2017-11-17,1.02,12.0,180.0,Finance,1
Odonate Therapeutics Inc.,California,ODT,Nasdaq,0.0,1674.9,1674.9,2017-12-07,6.69,24.0,150.0,Health,1
Piedmont Office Realty Trust Inc.,Georgia,PDM,New York,0.0,70.1,83.6,2010-02-10,3.26,14.5,174.0,Finance,1
Stemline Therapeutics Inc.,New York,STML,Nasdaq,-29.2,0.0,265.1,2013-01-29,10.8,10.0,33.176,Health,1
Tantech Holdings Ltd,Kentucky,TANH,Nasdaq,0.0,55.4,6678.1,2015-03-24,8.11,4.0,12.8,Chemical,1
Controladora Vuela Compania De Aviacion SAB De CV,Pennsylvania,VLRS,New York,3.1,91.7,94.8,2013-09-18,8.07,12.0,271.763,Machinery,1
Myokardia Inc.,California,MYOK,Nasdaq,-1.2,0.0,21.5,2015-10-29,10.25,10.0,54.375,Health,1
Airgain Inc.,California,AIRG,Nasdaq,0.0,1.8,44.4,2016-08-12,7.65,8.0,12.0,IT,1
Kindred Biosciences Inc.,California,KIN,Nasdaq,0.0,0.0,8.3,2013-12-12,10.81,7.0,52.5,Health,1
Angie'S List Inc.,Indiana,ANGI,Nasdaq,0.0,33.8,50.2,2011-11-17,7.9,13.0,114.314,IT,1
Ncs Multistage Holdings Inc.,Texas,NCSM,Nasdaq,100.6,184.7,5316.7,2017-04-28,4.89,17.0,161.5,Oil,1
Truecar Inc.,California,TRUE,Nasdaq,0.0,0.0,131.6,2014-05-16,14.03,9.0,69.975,IT,1
Re/Max Holdings Inc.,Colorado,RMAX,New York,0.0,292.6,38918.7,2013-10-02,9.27,22.0,220.0,Finance,1
Fuling Global Inc.,Virginia,FORK,Nasdaq,14.0,64.8,394.2,2015-11-04,5.21,5.0,20.0,Retail,1
Renewable Energy Group Inc.,Iowa,REGI,Nasdaq,66.8,87.1,278.7,2012-01-19,12.17,10.0,72.0,Oil,1
Gopro Inc.,California,GPRO,Nasdaq,0.0,28.6,51.3,2014-06-26,9.51,24.0,427.2,IT,1
Nabriva Therapeutics Plc,Hawaii,NBRV,Nasdaq,-9.9,0.0,107.8,2015-09-18,10.63,10.25,92.25,Health,1
Sachem Capital Corp,Connecticut,SACH,NYSE MKT,0.0,0.0,1403.4,2017-02-10,9.56,5.0,13.0,Finance,1
Workiva Inc.,Iowa,WK,New York,0.0,0.0,81.7,2014-12-12,6.03,14.0,100.8,IT,1
Spark Therapeutics Inc.,Pennsylvania,ONCE,Nasdaq,-24.7,1518.0,1542.7,2015-01-30,10.66,23.0,161.0,Health,1
Amyris Inc.,California,AMRS,Nasdaq,1020.5,4.3,1024.8,2010-09-28,9.89,16.0,84.8,Chemical,1
Andatee China Marine Fuel Services Corp,New Jersey,AMCF,Nasdaq,33.3,60.2,93.5,2010-01-26,8.94,6.3,19.75,Oil,1
Quantenna Communications Inc.,California,QTNA,Nasdaq,-13.6,578.4,592.0,2016-10-28,10.42,16.0,107.2,IT,1
Surgery Partners Inc.,Tennessee,SGRY,Nasdaq,0.0,0.0,4.9,2015-10-01,9.88,19.0,271.415,Health,1
Aqua Metals Inc.,Nevada,AQMS,Nasdaq,0.0,127.0,750.2,2015-07-31,14.69,5.0,33.0,Machinery,1
Makemytrip Ltd,Indiana,MMYT,Nasdaq,31.5,14.0,76.8,2010-08-12,8.55,14.0,70.0,Retail,1
Intellia Therapeutics Inc.,Massachusetts,NTLA,Nasdaq,0.0,10.9,51.3,2016-05-06,9.14,18.0,108.0,Health,1
Foundation Building Materials Inc.,California,FBM,New York,0.0,109.4,1012.1,2017-02-10,6.5,14.0,179.2,Machinery,1
Mix Telematics Ltd,Colorado,MIXT,New York,0.0,129.8,129.8,2013-08-09,16.55,16.0,100.738,IT,1
Sandridge Energy Inc.,Oklahoma,SDT,New York,0.0,3917.3,3917.3,2011-04-07,6.26,21.0,315.0,Oil,1
Bonanza Creek Energy Inc.,Colorado,BCEI,New York,171.8,143.8,1676.8,2011-12-15,5.93,17.0,170.0,Oil,1
Guidewire Software Inc.,California,GWRE,New York,0.0,0.0,63.9,2012-01-25,12.47,13.0,115.05,IT,1
Biocept Inc.,California,BIOC,Nasdaq,-25.1,0.0,25.1,2014-02-05,11.62,10.0,19.0,Health,1
Tri Pointe Group Inc.,California,TPH,New York,71.3,36.4,3697.2,2013-01-31,11.31,17.0,232.713,Retail,1
Trivago NV,Pennsylvania,TRVG,Nasdaq,0.0,120.4,120.4,2016-12-16,7.45,11.0,287.211,Retail,1
Valeritas Holdings Inc.,New Jersey,VLRX,Nasdaq,0.0,0.0,1795.7,2017-03-23,16.48,10.0,52.5,Health,1
Bluerock Residential Growth Reit Inc.,New York,BRG,American,0.0,14.2,660.5,2014-03-28,7.18,14.5,50.0,Finance,1
Anaptysbio Inc.,California,ANAB,Nasdaq,0.0,0.4,3.0,2017-01-26,9.9,15.0,75.0,Health,1
Zymeworks Inc.,New Jersey,ZYME,New York,0.0,0.0,25.0,2017-04-28,12.15,13.0,58.5,Health,1
Aquantia Corp,California,AQ,New York,444.8,7.5,452.3,2017-11-03,6.07,9.0,61.362,IT,1
Boise Cascade Co,Idaho,BCC,New York,0.0,0.0,12.9,2013-02-06,14.45,21.0,247.059,Chemical,1
Urogen Pharma Ltd,Oregon,URGN,Nasdaq,0.0,1.1,198.8,2017-05-04,9.75,13.0,58.154,Health,1
Antero Midstream Partners Lp,Colorado,AM,New York,0.0,156.6,156.6,2014-11-05,9.79,25.0,1000.0,Oil,1
Esh Hospitality Inc.,North Carolina,STAY,New York,2.5,95.7,98.2,2013-11-13,10.86,20.0,565.0,Retail,1
Ameri Holdings Inc.,Georgia,AMRH,Nasdaq,0.0,6.6,35.6,2017-11-17,10.26,4.12,6.077,IT,1
Gevo Inc.,Colorado,GEVO,Nasdaq,0.0,3900.3,7899.2,2011-02-09,13.06,15.0,107.25,Chemical,1
El Pollo Loco Holdings Inc.,California,LOCO,Nasdaq,86.2,36.7,215.4,2014-07-25,17.3,15.0,107.143,Retail,1
First Hawaiian Inc.,Hawaii,FHB,Nasdaq,0.0,0.0,2535.4,2016-08-04,5.91,23.0,485.0,Finance,1
Appfolio Inc.,California,APPF,Nasdaq,0.0,10.9,96.7,2015-06-26,6.08,12.0,74.4,IT,1
City Office Reit Inc.,Nebraska,CIO,New York,10.1,0.0,3539.2,2014-04-15,8.14,12.5,72.5,Finance,1
Mongodb Inc.,New York,MDB,Nasdaq,0.0,0.0,43.2,2017-10-19,16.53,24.0,192.0,IT,1
Baozun Inc.,Georgia,BZUN,Nasdaq,97.5,1114.5,1212.0,2015-05-21,7.92,10.0,110.0,Retail,1
Howard Hughes Corp,Texas,HHC,New York,0.0,667.4,667.4,2010-11-10,11.72,36.9,708.842,Finance,1
Syros Pharmaceuticals Inc.,Massachusetts,SYRS,Nasdaq,70.0,0.0,3695.8,2016-06-30,8.7,12.5,50.0,Health,1
Zayo Group Holdings Inc.,Colorado,ZAYO,New York,0.0,170.8,811.3,2014-10-17,7.84,19.0,400.0,IT,1
Rhythm Pharmaceuticals Inc.,Massachusetts,RYTM,Nasdaq,0.0,1.5,71.4,2017-10-05,17.45,17.0,119.85,Health,1
Acushnet Holdings Corp,Massachusetts,GOLF,New York,67.8,0.0,161.5,2016-10-28,9.38,17.0,328.667,Retail,1
Noodles & Co,Colorado,NDLS,Nasdaq,0.0,55.6,55.6,2013-06-28,1.38,18.0,96.429,Retail,1
Redfin Corp,Washington,RDFN,Nasdaq,0.0,2997.2,116020.0,2017-07-28,11.48,15.0,138.465,Finance,1
Zk International Group Co Ltd,Virginia,ZKIN,Nasdaq,-22.3,201.9,224.3,2017-09-01,9.39,5.0,5.342,Chemical,1
Kamada Ltd,District of Columbia,KMDA,Nasdaq,42.7,6.1,181.3,2013-05-31,8.53,9.25,51.639,Health,1
Palo Alto Networks Inc.,California,PANW,New York,0.0,0.0,45.7,2012-07-20,10.24,42.0,260.4,IT,1
Propetro Holding Corp,Texas,PUMP,New York,0.0,82.2,193.8,2017-03-17,7.71,14.0,350.0,Oil,1
Ra Pharmaceuticals Inc.,Massachusetts,RARX,Nasdaq,0.0,22.8,63.9,2016-10-26,8.7,13.0,91.64,Health,1
Epizyme Inc.,Massachusetts,EPZM,Nasdaq,0.0,1.7,1972.7,2013-05-31,6.83,15.0,77.13,Health,1
Yext Inc.,New York,YEXT,New York,0.0,0.0,292.4,2017-04-13,9.98,11.0,115.5,IT,1
21Vianet Group Inc.,Tennessee,VNET,Nasdaq,0.0,0.0,301.8,2011-04-21,9.62,15.0,195.0,IT,1
Wayfair Inc.,Massachusetts,W,New York,85.1,86.5,171.6,2014-10-02,9.69,29.0,319.0,Retail,1
Chinacache International Holdings Ltd,Colorado,CCIH,Nasdaq,-5.4,18.6,1089.2,2010-10-01,8.4,13.9,84.248,IT,1
Curo Group Holdings Corp,Kansas,CURO,New York,8.8,0.0,2801.4,2017-12-07,3.64,14.0,93.333,Finance,1
Akers Biosciences Inc.,New Jersey,AKER,Nasdaq,-26.9,2354.2,4083.5,2014-01-23,11.64,5.5,14.998,Health,1
Ss&C Technologies Holdings Inc.,Connecticut,SSNC,Nasdaq,0.0,0.0,101.0,2010-03-31,14.47,15.0,160.875,IT,1
Five9 Inc.,California,FIVN,Nasdaq,31.3,482.7,739.9,2014-04-04,12.61,7.0,70.0,IT,1
Duluth Holdings Inc.,Wisconsin,DLTH,Nasdaq,90.3,1538.7,1629.0,2015-11-20,6.63,12.0,80.0,Retail,1
Solaredge Technologies Inc.,South Carolina,SEDG,Nasdaq,21.4,0.0,56.2,2015-03-26,9.03,18.0,126.0,IT,1
Gw Pharmaceuticals Plc,District of Columbia,GWPH,Nasdaq,21.2,4.0,25.2,2013-05-01,8.62,8.9,31.15,Health,1
Store Capital Corp,Arizona,STOR,New York,0.0,93.5,688.8,2014-11-18,13.02,18.5,508.75,Finance,1
Jeld-Wen Holding Inc.,North Carolina,JELD,New York,0.0,0.0,243.0,2017-01-27,10.17,23.0,575.0,Chemical,1
Q2 Holdings Inc.,Texas,QTWO,New York,0.0,3.8,144.7,2014-03-20,10.45,13.0,100.891,IT,1
Party City Holdco Inc.,New York,PRTY,New York,26.3,46.3,267.1,2015-04-16,6.71,17.0,371.875,Retail,1
Shake Shack Inc.,New York,SHAK,New York,62.3,96.6,158.9,2015-01-30,8.09,21.0,105.0,Retail,1
JdCom Inc.,Oklahoma,JD,Nasdaq,13.1,90.0,480.3,2014-05-22,9.38,19.0,1780.027,Retail,1
Tremont Mortgage Trust,Massachusetts,TRMT,Nasdaq,0.0,339.4,43001.6,2017-09-14,7.52,20.0,50.0,Finance,1
Aveo Pharmaceuticals Inc.,Massachusetts,AVEO,Nasdaq,-1.7,413.6,415.2,2010-03-12,9.27,9.0,81.0,Health,1
Wesco Aircraft Holdings Inc.,California,WAIR,New York,158.5,0.1,158.6,2011-07-28,7.15,15.0,315.0,Machinery,1
Matador Resources Co,Texas,MTDR,New York,209.1,166.0,656.0,2012-02-02,4.46,12.0,160.0,Oil,1
Trevena Inc.,Pennsylvania,TRVN,Nasdaq,0.0,0.0,52.6,2014-01-31,13.61,7.0,64.75,Health,1
Keane Group Inc.,Texas,FRAC,New York,79.1,386.8,1297.8,2017-01-20,9.58,19.0,508.44,Oil,1
James River Group Holdings Ltd,South Carolina,JRVR,Nasdaq,0.0,79.0,878.7,2014-12-12,8.74,21.0,231.0,Finance,1
Polar Power Inc.,California,POLA,Nasdaq,0.0,909.9,909.9,2016-12-07,5.13,7.0,16.8,Machinery,1
Reto Eco-Solutions Inc.,Rhode Island,RETO,Nasdaq,53.6,0.0,53.6,2017-11-29,7.66,5.0,14.0,Chemical,1
Adomani Inc.,California,ADOM,Nasdaq,3.2,66.5,73.8,2017-06-15,8.56,5.0,14.261,Retail,1
Onconova Therapeutics Inc.,Pennsylvania,ONTX,Nasdaq,23.9,0.0,1844.2,2013-07-25,5.9,15.0,77.5,Health,1
Athenex Inc.,New York,ATNX,Nasdaq,71.8,0.0,71.8,2017-06-14,8.49,11.0,66.0,Health,1
Granite Point Mortgage Trust Inc.,New York,GPMT,New York,0.0,77869.2,77869.2,2017-06-23,9.56,19.5,195.0,Finance,1
Suncoke Energy Inc.,Illinois,SXC,New York,-89.2,19.5,133.6,2011-07-21,9.87,16.0,185.6,Chemical,1
Benitec Biopharma Ltd/Adr,New York,BNTC,Nasdaq,0.0,1.3,631.1,2015-08-18,15.78,9.21,13.815,Health,1
Everspin Technologies Inc.,Arizona,MRAM,Nasdaq,-17.6,0.0,38.8,2016-10-07,8.28,8.0,40.0,IT,1
Four Seasons Education (Cayman) Inc.,Hawaii,FEDU,New York,0.0,0.0,566.4,2017-11-08,10.48,10.0,101.0,Food,1
Vocera Communications Inc.,California,VCRA,New York,549.8,0.1,863.8,2012-03-28,12.68,16.0,93.6,IT,1
Beigene Ltd,Idaho,BGNE,Nasdaq,0.0,52.6,687.9,2016-02-03,10.68,24.0,158.4,Health,1
Adesto Technologies Corp,California,IOTS,Nasdaq,88.4,40.2,128.7,2015-10-27,9.84,5.0,25.0,IT,1
Avenue Therapeutics Inc.,New York,ATXI,Nasdaq,0.0,0.0,119.0,2017-06-27,8.58,6.0,33.0,Health,1
Boot Barn Holdings Inc.,California,BOOT,New York,73.4,1499.9,1573.3,2014-10-30,5.85,16.0,80.0,Retail,1
Fang Holdings Ltd,Iowa,SFUN,New York,0.0,1989.8,1989.8,2010-09-17,8.47,42.5,124.663,IT,1
Ladder Capital Corp,New York,LADR,New York,0.0,89.4,3345.7,2014-02-06,5.89,17.0,225.25,Finance,1
Oncomed Pharmaceuticals Inc.,California,OMED,Nasdaq,31.5,0.0,50.0,2013-07-18,8.71,17.0,81.6,Engineering,1
Marinus Pharmaceuticals Inc.,Pennsylvania,MRNS,Nasdaq,25.0,0.0,180.7,2014-07-31,8.47,8.0,45.0,Health,1
Cue Biopharma Inc.,Massachusetts,CUE,Nasdaq,-23.8,1.1,24.9,2018-01-02,15.08,7.5,66.155,Health,1
Lgi Homes Inc.,Texas,LGIH,Nasdaq,27.0,0.0,203.5,2013-11-07,8.14,11.0,99.0,Retail,1
Tocagen Inc.,California,TOCA,Nasdaq,-18.7,0.0,99.6,2017-04-13,12.03,10.0,85.0,Health,1
Line Corp,Colorado,LN,New York,0.0,0.0,2.7,2016-07-14,6.98,32.84,1149.4,IT,1
Loma Negra Compania Industrial Argentina Sociedad Anonima,New Jersey,LOMA,New York,0.0,0.0,60.6,2017-11-01,4.77,19.0,874.0,Chemical,1
Rexford Industrial Realty Inc.,California,REXR,New York,0.0,645.2,645.2,2013-07-19,1.9,14.0,224.0,Finance,1
Mtbc Inc.,New Jersey,MTBC,Nasdaq,0.0,0.0,24.7,2014-07-23,1.19,5.0,20.4,IT,1
Tms International Corp,Pennsylvania,TMS,New York,0.1,0.1,35.8,2011-04-14,4.02,13.0,145.6,Machinery,1
Smart Global Holdings Inc.,California,SGH,Nasdaq,0.0,0.1,56.7,2017-05-24,8.49,11.0,58.3,IT,1
Switch Inc.,Nevada,SWCH,New York,0.0,17.0,59.4,2017-10-06,9.01,17.0,531.25,IT,1
Glaukos Corp,California,GKOS,New York,-14.8,0.0,26.8,2015-06-25,14.32,18.0,108.0,Health,1
Trade Desk Inc.,California,TTD,Nasdaq,0.0,0.0,74.7,2016-09-21,14.71,18.0,84.0,IT,1
Capstar Financial Holdings Inc.,Tennessee,CSTR,Nasdaq,63.8,0.0,3014.7,2016-09-22,10.8,15.0,38.775,Finance,1
Mgm Growth Properties Llc,Nevada,MGP,New York,-0.5,2361.8,2362.3,2016-04-20,8.44,21.0,1050.0,Finance,1
Gemphire Therapeutics Inc.,Michigan,GEMP,Nasdaq,-3.2,0.0,62.9,2016-08-05,8.54,10.0,30.0,Health,1
Jinkosolar Holding Co Ltd,Connecticut,JKS,New York,-2.0,0.0,12.2,2010-05-14,13.16,11.0,64.185,IT,1
Ardmore Shipping Corp,Michigan,ASC,New York,0.0,162.7,162.7,2013-08-01,8.05,14.0,140.0,Machinery,1
Irhythm Technologies Inc.,California,IRTC,Nasdaq,-28.4,23.5,51.9,2016-10-20,6.73,17.0,107.0,Health,1
Advanced Drainage Systems Inc.,Ohio,WMS,New York,69.0,2.7,455.8,2014-07-25,1.75,16.0,232.0,Retail,1
On Deck Capital Inc.,New York,ONDK,New York,48.2,272.0,320.2,2014-12-17,12.23,20.0,200.0,Finance,1
Rewalk Robotics Ltd,Kentucky,RWLK,Nasdaq,0.0,0.0,33.8,2014-09-12,8.39,12.0,36.0,Health,1
Seres Therapeutics Inc.,Massachusetts,MCRB,Nasdaq,247.4,7.4,254.7,2015-06-26,9.01,18.0,133.75,Health,1
Otonomy Inc.,California,OTIC,Nasdaq,0.0,0.0,163.8,2014-08-13,10.33,16.0,100.0,Health,1
China Customer Relations Centers Inc.,Kentucky,CCRC,Nasdaq,0.0,0.4,150.1,2015-12-21,8.16,4.0,9.6,Machinery,1
Merus NV,New Jersey,MRUS,Nasdaq,0.0,39.9,1426.7,2016-05-19,6.24,10.0,55.0,Health,1
Karyopharm Therapeutics Inc.,Massachusetts,KPTI,Nasdaq,6.1,0.0,546.6,2013-11-06,7.71,16.0,108.8,Health,1
Rise Education Cayman Ltd,Oregon,REDU,Nasdaq,0.0,44.0,151.7,2017-10-20,8.74,14.5,159.5,Food,1
Ferrari NV,Massachusetts,RACE,New York,314.9,49.6,364.4,2015-10-21,11.32,52.0,893.1,Retail,1
Geopark Ltd,Arkansas,GPRK,New York,0.0,0.4,6158.2,2014-02-07,6.48,7.0,94.5,Oil,1
County Bancorp Inc.,Wisconsin,ICBK,Nasdaq,12.9,128.6,3714.4,2015-01-16,7.39,15.75,18.585,Finance,1
Snap Inc.,California,SNAP,New York,0.0,9.8,47.6,2017-03-02,15.47,17.0,3400.0,IT,1
Pattern Energy Group Inc.,California,PEGI,Nasdaq,0.0,0.0,607.5,2013-09-27,8.41,22.0,352.0,Energy,1
Noble Midstream Partners Lp,Texas,NBLX,New York,14.1,412.7,606.0,2016-09-15,9.89,22.5,281.25,Oil,1
Immuron Ltd,Idaho,IMRN,Nasdaq,0.0,1784.8,1784.8,2017-06-09,0.49,9.99,6.094,Health,1
Independence Realty Trust Inc.,Pennsylvania,IRT,American,55.0,64.5,2557.2,2013-08-13,8.78,8.5,34.0,Finance,1
Xenon Pharmaceuticals Inc.,Maine,XENE,Nasdaq,0.0,0.0,2.8,2014-11-05,7.21,9.0,36.0,Health,1
Nevro Corp,California,NVRO,New York,-24.9,0.0,50.2,2014-11-06,10.16,18.0,126.0,Health,1
Atlassian Corp Plc,California,TEAM,Nasdaq,0.0,0.0,40.0,2015-12-10,12.14,21.0,462.0,IT,1
Turning Point Brands Inc.,Kentucky,TPB,New York,75.6,0.0,75.6,2016-05-11,10.94,10.0,54.0,Food,1
National Vision Holdings Inc.,Georgia,EYE,Nasdaq,0.0,113.6,113.6,2017-10-26,7.59,22.0,347.6,Retail,1
Obseva Sa,Maryland,OBSV,Nasdaq,-19.0,1243.4,1262.3,2017-01-26,7.55,15.0,96.75,Health,1
Acceleron Pharma Inc.,Massachusetts,XLRN,Nasdaq,0.0,0.0,142.0,2013-09-19,0.36,15.0,83.7,Health,1
Cellectis SA,Maryland,CLLS,Nasdaq,-28.3,221.1,249.5,2015-03-25,6.77,41.5,228.25,Health,1
Homestreet Inc.,Washington,HMST,Nasdaq,5.9,60.7,279.9,2012-02-10,16.83,44.0,83.443,Finance,1
Aerie Pharmaceuticals Inc.,North Carolina,AERI,Nasdaq,0.0,3.8,17.7,2013-10-25,10.61,10.0,67.2,Health,1
Sienna Biopharmaceuticals Inc.,California,SNNA,Nasdaq,0.0,47.6,47.6,2017-07-27,10.05,15.0,65.0,Health,1
Ac Immune Sa,Utah,ACIU,Nasdaq,0.0,1083.8,1083.8,2016-09-23,10.86,11.0,66.0,Health,1
Talend Sa,California,TLND,Nasdaq,0.0,92.3,92.3,2016-07-29,14.11,18.0,94.5,IT,1
Advanced Disposal Services Inc.,Florida,ADSW,New York,0.0,49.0,617.4,2016-10-06,7.32,18.0,346.5,Machinery,1
Altice Usa Inc.,New York,ATUS,New York,13.9,349.3,363.2,2017-06-22,9.3,30.0,1918.291,Communications,1
Enanta Pharmaceuticals Inc.,Massachusetts,ENTA,Nasdaq,0.0,211.2,211.2,2013-03-21,12.43,14.0,56.0,Health,1
Summit Materials Inc.,Colorado,SUM,New York,-15.0,3.6,57.2,2015-03-12,13.04,18.0,400.0,Chemical,1
Collegium Pharmaceutical Inc.,Massachusetts,COLL,Nasdaq,7.0,0.0,66.5,2015-05-07,7.19,12.0,69.6,Health,1
Newmark Group Inc.,New York,NMRK,Nasdaq,57.6,114.0,3221.0,2017-12-15,9.0,14.0,280.0,Finance,1
Dicerna Pharmaceuticals Inc.,Massachusetts,DRNA,Nasdaq,-26.6,26.1,55.2,2014-01-30,9.37,15.0,90.0,Health,1
Smart & Final Stores Inc.,California,SFS,New York,465.5,525.9,991.4,2014-09-24,11.57,12.0,161.4,Food,1
Minerva Neurosciences Inc.,Massachusetts,NERV,Nasdaq,-13.8,9.7,23.5,2014-07-01,6.57,6.0,32.727,Health,1
Rapid7 Inc.,Massachusetts,RPD,Nasdaq,0.0,5.0,933.6,2015-07-17,10.55,16.0,103.2,IT,1
Catalent Inc.,New Jersey,CTLT,New York,0.0,0.0,3.5,2014-07-31,10.47,20.5,871.25,Health,1
Akcea Therapeutics Inc.,Massachusetts,AKCA,Nasdaq,0.0,0.0,63.8,2017-07-14,8.12,8.0,125.0,Health,1
General Motors Co,Michigan,GM,New York,87.5,2.3,89.8,2010-11-18,14.71,33.0,15774.0,Retail,1
1347 Property Insurance Holdings Inc.,Florida,PIH,Nasdaq,11.1,0.0,66.5,2014-04-01,0.87,8.0,15.1,Finance,1
Phillips 66 Partners Lp,Texas,PSXP,New York,5.0,64.7,1381.6,2013-07-23,10.24,23.0,377.775,Oil,1
Grupo Aval Acciones Y Valores SA,North Carolina,AVAL,New York,0.0,0.0,110.5,2014-09-23,7.49,13.5,1100.0,Finance,1
Nextera Energy Partners Lp,Florida,NEP,New York,0.0,0.0,1074.4,2014-06-27,8.67,25.0,406.25,Energy,1
Deciphera Pharmaceuticals Inc.,Massachusetts,DCPH,Nasdaq,0.0,0.0,3917.1,2017-09-28,14.34,17.0,127.5,Health,1
Magnachip Semiconductor Corp,Rhode Island,MX,New York,0.0,0.0,863.2,2011-03-11,8.46,14.0,133.0,IT,1
Seadrill Partners Llc,South Carolina,SDLP,New York,0.0,0.0,1790.0,2012-10-19,6.82,22.0,192.5,Oil,1
Health Insurance Innovations Inc.,Florida,HIIQ,Nasdaq,0.0,41.9,165.1,2013-02-08,10.74,14.0,65.333,Health,1
Zynga Inc.,California,ZNGA,Nasdaq,49.2,12.7,303.3,2011-12-16,8.36,10.0,1000.0,IT,1
Independence Contract Drilling Inc.,Texas,ICD,New York,121.4,77.3,655.3,2014-08-08,7.74,11.0,110.0,Oil,1
Model N Inc.,California,MODN,New York,0.0,8.5,75.4,2013-03-20,8.76,15.5,104.47,IT,1
2U Inc.,Maryland,TWOU,Nasdaq,0.0,3.4,26.2,2014-03-28,6.74,13.0,119.275,IT,1
Fat Brands Inc.,California,FAT,Nasdaq,13.7,112.2,334.4,2017-10-23,9.58,12.0,24.0,Retail,1
Teladoc Health Inc.,New York,TDOC,New York,122.8,0.0,941.4,2015-07-01,10.52,19.0,156.75,IT,1
Mimecast Ltd,North Carolina,MIME,Nasdaq,0.0,0.0,126.6,2015-11-19,10.28,10.0,77.5,IT,1
Atara Biotherapeutics Inc.,California,ATRA,Nasdaq,-19.7,1668.1,1687.8,2014-10-16,4.19,11.0,55.0,Health,1
American Assets Trust Inc.,California,AAT,New York,11.0,368.1,23943.5,2011-01-13,5.89,20.5,563.75,Finance,1
Artisan Partners Asset Management Inc.,Wisconsin,APAM,New York,0.0,1269.3,1269.3,2013-03-07,10.89,30.0,331.625,Finance,1
Emerald Expositions Events Inc.,California,EEX,New York,3.5,10.9,2414.0,2017-04-28,7.03,17.0,263.5,Machinery,1
Emerge Energy Services Lp,Texas,EMES,New York,0.0,3.3,58.3,2013-05-09,6.38,17.0,127.5,Chemical,1
Apollo Global Management Llc,New York,APO,New York,0.0,553.5,553.5,2011-03-30,7.35,19.0,565.394,Finance,1
Lexinfintech Holdings Ltd,South Dakota,LX,Nasdaq,18.0,0.0,3276.6,2017-12-21,9.27,9.0,108.0,Finance,1
Inflarx NV,North Carolina,IFRX,Nasdaq,0.0,0.0,3441.3,2017-11-08,10.6,15.0,100.005,Health,1
Complete Genomics Inc.,California,GNOM,Nasdaq,0.0,42.7,71.9,2010-11-11,13.94,9.0,54.0,Finance,1
Atlas Financial Holdings Inc.,Illinois,AFH,Nasdaq,2452.9,1053.0,23961.9,2013-02-12,2.09,5.85,24.131,Finance,1
Ellington Residential Mortgage Reit,Connecticut,EARN,New York,40.0,125.3,633.8,2013-05-01,9.66,20.0,129.0,Finance,1
Evogene Ltd,Iowa,EVGN,New York,-3.6,7.7,54.0,2013-11-21,11.0,14.75,73.75,Health,1
Synchrony Financial,Connecticut,SYF,New York,0.0,271.5,591.1,2014-07-31,4.3,23.0,2875.0,Finance,1
Kempharm Inc.,Florida,KMPH,Nasdaq,0.0,0.0,148.8,2015-04-16,9.38,11.0,56.0,Health,1
Xunlei Ltd,Nevada,XNET,Nasdaq,-119.4,0.0,240.6,2014-06-24,11.57,12.0,87.78,IT,1
Eqm Midstream Partners Lp,Pennsylvania,EQM,New York,47.8,1190.9,1238.7,2012-06-27,5.84,21.0,262.5,Oil,1
AlarmCom Holdings Inc.,Virginia,ALRM,Nasdaq,121.4,116.8,238.3,2015-06-26,10.59,14.0,98.0,IT,1
Phibro Animal Health Corp,New Jersey,PAHC,Nasdaq,461.5,1807.0,2268.5,2014-04-11,11.16,15.0,191.181,Health,1
Berry Global Group Inc.,Indiana,BERY,New York,359.4,43.0,402.4,2012-10-04,7.71,16.0,470.588,Retail,1
Norwegian Cruise Line Holdings Ltd,Florida,NCLH,Nasdaq,7.9,74.7,82.6,2013-01-18,5.79,19.0,447.059,Retail,1
Marcus & Millichap Inc.,California,MMI,New York,0.0,183.5,436.3,2013-10-31,9.64,12.0,72.0,Finance,1
Merrimack Pharmaceuticals Inc.,Massachusetts,MACK,Nasdaq,344.5,19.6,364.1,2012-03-29,5.45,7.0,100.1,Health,1
