company_name,state_name,ticker_name,exchange_name,profit_millions,debt_millions,assets_millions,ipo_date,ipo_fees_millions,ipo_price_usd_per_share,ipo_amount_millions,industry_name
T2 Biosystems Inc,Massachusetts,TTOO,Nasdaq,0.0,10.7,20.1,2014-07-02,9.9,11.0,57.2,Health
TAL International Group Inc,New York,TAL,New York,0.0,820.2,1353.8,2005-06-30,8.5,18.0,207.0,Machinery
TNS Inc,Virginia,TNS,New York,57.0,67.0,342.9,2003-11-03,10.0,18.0,79.6,Consulting
TPI Composites Inc,Arizona,TPIC,Nasdaq,57.4,83.8,352.6,2016-06-17,4.9,11.0,68.8,Machinery
Tableau Software Inc,Washington,DATA,New York,0.0,0.0,89.4,2012-04-22,7.9,31.0,254.2,IT
Tabula Rasa Healthcare Inc.,New Jersey,TRHC,Nasdaq,0.0,1.4,211.0,2016-09-29,8.9,12.0,51.6,IT
Tactile Systems Technology Inc.,Minnesota,TCMD,Nasdaq,1.6,26.3,27.9,2016-07-28,13.3,10.0,40.0,Health
Tag-It Pacific Inc,California,TAG,American,1.1,0.0,5.4,1997-10-21,21.7,4.0,6.7,Machinery
Talecris Biotherapeutics Holdings Corp,North Carolina,TLCR,Nasdaq,0.0,605.3,1373.6,2007-07-27,6.0,19.0,950.0,Chemical
Talend Sa,California,TLND,Nasdaq,0.0,92.3,92.3,2016-07-29,14.1,18.0,94.5,IT
Taleo Corp,California,TLEO,Nasdaq,2.7,17.5,53.1,2004-03-31,10.6,14.0,93.8,IT
Tandem Diabetes Care Inc.,California,TNDM,Nasdaq,0.0,59.4,77.5,2013-11-14,11.6,15.0,120.0,Health
Tantech Holdings Ltd,Kentucky,TANH,Nasdaq,0.0,55.4,6678.1,2015-03-24,8.1,4.0,12.8,Chemical
Targa Resources Corp,Texas,TRGP,New York,45.2,0.2,326.2,2010-12-07,9.6,22.0,360.3,Oil
Targa Resources Partners LP,Texas,NGLS,Nasdaq,84.5,294.5,1115.8,2006-11-15,6.7,21.0,352.8,Oil
Taylor Morrison Home Corp,Arizona,TMHC,New York,0.0,0.2,734.9,2013-04-10,1.1,22.0,628.6,Retail
Tdh Holdings Inc.,Illinois,PETZ,Nasdaq,102.2,0.0,3041.4,2017-09-21,6.5,4.3,5.6,Food
Team Financial Inc,Kansas,TFIN,Nasdaq,0.0,19.0,434.7,1999-04-13,10.1,11.3,11.3,Finance
TechTarget Inc,Massachusetts,TTGT,Nasdaq,0.0,4.5,92.1,2007-02-07,9.2,13.0,100.1,Consulting
Tecogen Inc.,Massachusetts,TGEN,Nasdaq,0.0,3.3,60.8,2014-05-20,9.5,4.8,3.1,Chemical
Teladoc Health Inc.,New York,TDOC,New York,122.8,0.0,941.4,2015-07-01,10.5,19.0,156.8,IT
TeleCommunication Systems Inc,Maryland,TSYS,Nasdaq,0.0,1.3,91.2,2000-04-25,8.4,17.0,79.9,IT
Telenav Inc.,California,TNAV,Nasdaq,0.0,438.7,1304.8,2010-05-13,2.1,8.0,56.0,IT
Terraform Power Inc.,New York,TERP,Nasdaq,37.7,563.2,922.3,2014-07-18,10.0,25.0,501.6,Energy
Terreno Realty Corp,California,TRNO,New York,0.0,0.0,355.0,2010-02-10,10.2,20.0,175.0,Finance
Tesla Motors Inc,California,TSLA,Nasdaq,0.0,46.1,145.3,2010-01-29,8.2,17.0,226.1,Machinery
Tessera Technologies Inc,California,TSRA,Nasdaq,0.0,0.0,31.6,2003-09-04,9.1,13.0,97.5,Machinery
Tetralogic Pharmaceuticals Corp,New York,TLOG,Nasdaq,0.0,1766.6,1766.6,2013-12-12,8.7,7.0,50.1,Health
Tetraphase Pharmaceuticals Inc.,Massachusetts,TTPH,Nasdaq,0.0,2523.4,2523.4,2013-03-20,20.6,7.0,75.0,Health
Texas Capital Bancshares Inc,Texas,TCBI,Nasdaq,8.8,20.0,2003.2,2002-08-09,7.6,11.0,66.0,Finance
Texas Roadhouse Inc,Kentucky,TXRH,Nasdaq,49.2,13.5,175.5,2004-05-07,7.8,17.5,159.4,Restaurant
Textura Corp,Illinois,TXTR,New York,0.0,10.7,64.5,2013-03-18,8.8,15.0,75.0,IT
The Bank Holdings,Nevada,TBHS,Nasdaq,0.0,0.0,166.1,2003-12-17,9.3,11.0,14.9,Finance
The Chefs Warehouse Inc,Connecticut,CHEF,Nasdaq,27.7,39.3,93.8,2011-04-12,8.3,15.0,135.0,Retail
The Ensign Group Inc,California,ENSG,Nasdaq,0.0,60.6,196.0,2007-05-14,10.6,16.0,64.0,Health
The Joint Corp,Arizona,JYNT,Nasdaq,0.0,0.0,8.5,2014-09-19,9.4,6.5,19.5,Finance
The KEYW Holding Corp,Maryland,KEYW,Nasdaq,0.0,0.0,138.5,2010-06-17,1.3,10.0,91.0,Engineering
The Princeton Review Inc,Massachusetts,REVU,Nasdaq,0.0,5.6,61.6,2000-08-15,11.9,11.0,59.4,Services
The Rubicon Project Inc,California,RUBI,New York,0.0,0.0,127.7,2013-01-30,9.0,15.0,101.6,IT
TherapeuticsMD Inc,Florida,TXMD,NYSE MKT,0.0,0.0,5.8,2013-03-07,8.3,1.7,50.0,Chemical
Thermage Inc,California,THRM,Nasdaq,0.0,0.0,25.0,2006-08-10,12.3,7.0,42.0,Energy
Thomas Properties Group Inc,California,TPGI,Nasdaq,0.0,295.9,330.0,2004-04-16,10.3,12.0,171.4,Finance
Threshold Pharmaceuticals Inc,California,THLD,Nasdaq,0.0,0.3,32.2,2004-04-09,10.3,7.0,37.3,Agriculture
Tibet Pharmaceuticals Inc.,New York,TBET,Nasdaq,440.2,835.2,1275.3,2011-01-25,10.2,5.5,16.5,Health
Tier Technologies Inc,Virginia,TIER,Nasdaq,1.7,0.2,13.1,1997-10-10,11.2,8.5,28.9,IT
Tilly'S Inc.,California,TLYS,New York,13.0,114.3,127.3,2012-05-04,8.3,15.5,124.0,Retail
Tms International Corp,Pennsylvania,TMS,New York,0.1,0.1,35.8,2011-04-14,4.0,13.0,145.6,Machinery
Tocagen Inc.,California,TOCA,Nasdaq,0.0,0.0,99.6,2017-04-13,12.0,10.0,85.0,Health
Tokai Pharmaceuticals Inc,Massachusetts,TKAI,Nasdaq,0.0,0.0,23.4,2014-08-11,9.1,15.0,97.2,Chemical
Tomotherapy Inc,Wisconsin,TOMO,Nasdaq,0.0,0.0,121.7,2007-02-12,7.7,19.0,223.1,Energy
Tower International Inc.,Michigan,TOWR,New York,76.8,58.2,135.0,2010-10-15,6.4,13.0,81.3,Retail
Town Sports International Holdings Inc,New York,CLUB,Nasdaq,87.0,275.0,419.3,2005-07-06,9.0,13.0,116.4,Services
Townsquare Media Inc.,Connecticut,TSQ,New York,14.0,0.0,73.5,2014-07-24,9.2,11.0,91.7,Retail
Tracon Pharmaceuticals Inc.,California,TCON,Nasdaq,0.0,0.0,644.4,2015-01-30,8.6,10.0,36.0,Health
Trade Desk Inc.,California,TTD,Nasdaq,0.0,0.0,74.7,2016-09-21,14.7,18.0,84.0,IT
Transunion,Illinois,TRU,New York,3.0,37.4,461.8,2015-06-25,8.9,22.5,664.8,Machinery
Travelport Worldwide Ltd,Tennessee,TVPT,New York,43.7,13.1,56.8,2014-09-25,8.8,16.0,480.0,Restaurant
Tremont Mortgage Trust,Massachusetts,TRMT,Nasdaq,0.0,339.4,43001.6,2017-09-14,7.5,20.0,50.0,Finance
Tremor Video Inc,New York,TRMR,New York,0.0,0.9,120.5,2013-05-23,10.8,10.0,75.0,Media
Trevena Inc.,Pennsylvania,TRVN,Nasdaq,0.0,0.0,52.6,2014-01-31,13.6,7.0,64.8,Health
Trex Co Inc,Virginia,TWP,New York,0.0,4.5,60.8,1998-09-11,9.8,10.0,41.0,Chemical
Tri Pointe Group Inc.,California,TPH,New York,71.3,36.4,3697.2,2013-01-31,11.3,17.0,232.7,Retail
Trinet Group Inc.,California,TNET,New York,0.0,0.2,65.7,2014-03-27,7.8,16.0,240.0,Machinery
Trinseo SA,Pennsylvania,TSE,New York,80.5,2.8,174.8,2014-06-12,7.3,19.0,190.0,Retail
Tristate Capital Holdings Inc.,Pennsylvania,TSC,Nasdaq,0.0,2578.0,2578.0,2013-05-09,7.9,11.5,65.6,Finance
Triumph Bancorp Inc.,Texas,TBK,Nasdaq,0.0,265.6,1458.0,2014-11-07,12.9,12.0,80.4,Finance
Trivago NV,Pennsylvania,TRVG,Nasdaq,0.0,120.4,120.4,2016-12-16,7.5,11.0,287.2,Retail
Trubion Pharmaceuticals Inc,Washington,TRBN,Nasdaq,0.0,6.7,59.0,2006-06-02,10.7,13.0,52.0,Agriculture
Truecar Inc.,California,TRUE,Nasdaq,0.0,0.0,131.6,2014-05-16,14.0,9.0,70.0,IT
Truett-Hurst Inc,California,THST,Nasdaq,0.0,3.5,21.2,2013-03-11,13.6,6.0,16.2,Food
Trupanion Inc.,Washington,TRUP,New York,0.0,273.4,6407.8,2014-07-18,6.5,10.0,71.3,Finance
Tuniu Corp,Oklahoma,TOUR,Nasdaq,263.2,77.1,340.3,2014-05-09,10.1,9.0,72.0,Retail
Turning Point Brands Inc.,Kentucky,TPB,New York,75.6,0.0,75.6,2016-05-11,10.9,10.0,54.0,Food
Twilio Inc.,California,TWLO,New York,0.0,0.0,14.1,2016-06-23,8.3,15.0,150.0,IT
Twitter Inc,California,TWTR,New York,0.0,110.5,992.8,2011-03-03,2.3,26.0,1820.0,IT
U-Store-It Trust,Ohio,YSI,New York,0.0,378.2,536.4,2004-08-02,8.0,16.0,400.0,Finance
UCP Inc,California,UCP,New York,0.0,44.9,153.7,2013-04-04,9.1,15.0,116.3,Services
US Auto Parts Networks Inc,California,PRTS,Nasdaq,12.5,0.1,68.2,2006-11-02,9.5,10.0,100.0,Machinery
US Silica Holdings Inc.,Maryland,SLCA,New York,0.0,4.3,6283.9,2012-02-01,6.5,17.0,200.0,Chemical
USEC Inc,Maryland,USU,New York,162.4,334.5,2338.2,1998-06-29,3.3,14.3,1425.0,Chemical
Ubiquiti Networks Inc.,New York,UBNT,Nasdaq,0.0,0.2,37.2,2011-10-14,8.8,15.0,105.6,IT
Ulta Salon Cosmetics & Fragrance Inc,Illinois,ULTA,Nasdaq,74.7,55.0,393.5,2007-07-06,9.3,18.0,153.7,Retail
Ultragenyx Pharmaceutical Inc.,California,RARE,Nasdaq,0.0,0.0,23.8,2014-01-31,9.7,21.0,121.0,Health
Under Armour Inc,Maryland,UA,Nasdaq,38.1,4.6,144.8,2005-08-26,8.3,13.0,157.6,Clothes
Uniqure NV,Wisconsin,QURE,Nasdaq,0.0,0.0,20.7,2014-02-05,11.2,17.0,91.8,Health
United Insurance Holdings Corp,Florida,UIHC,Nasdaq,20.7,14.7,336.9,2012-10-23,6.1,5.2,27.3,Finance
United Therapeutics Corp,Maryland,UTHR,Nasdaq,0.0,0.7,17.8,1999-04-16,8.9,12.0,54.0,Chemical
Univar Inc,Illinois,UNVR,New York,474.8,3006.2,5905.1,2014-04-01,5.9,22.0,770.0,Chemical
Universal Power Group Inc,Texas,UPG,American,3.3,5.9,32.0,2006-09-12,9.6,7.0,21.0,Machinery
Upland Software Inc,Texas,UPLD,Nasdaq,0.0,12.4,95.0,2014-09-04,14.2,12.0,46.2,IT
Urogen Pharma Ltd,Oregon,URGN,Nasdaq,0.0,1.1,198.8,2017-05-04,9.8,13.0,58.2,Health
Us Foods Holding Corp,Illinois,USFD,New York,1.8,29.8,1783.6,2016-05-26,8.0,23.0,1022.2,Food
Usa Compression Partners Lp,Texas,USAC,New York,11.6,346.7,718.1,2013-01-15,9.2,18.0,198.0,Oil
Usd Partners Lp,Texas,USDP,New York,0.0,207.5,230.6,2014-10-09,8.4,17.0,155.0,Machinery
Valeritas Holdings Inc.,New Jersey,VLRX,Nasdaq,0.0,0.0,1795.7,2017-03-23,16.5,10.0,52.5,Health
Valvoline Inc.,Kentucky,VVV,New York,0.0,0.9,163.7,2016-09-23,6.7,22.0,660.0,Oil
Vanguard Health Systems Inc,Tennessee,VHS,New York,0.0,2325.8,4114.1,2011-04-15,6.8,18.0,450.0,Health
Vanguard Natural Resources LLC,Texas,VNR,NYSE Arca,42.6,37.4,138.7,2007-04-25,9.1,19.0,99.8,Oil
Vantiv Inc,Ohio,VNTV,New York,373.3,1213.4,3485.4,2011-07-12,6.4,17.0,500.0,Consulting
Vascular Biogenics Ltd,South Dakota,VBLT,Nasdaq,16.2,0.0,31.0,2014-10-01,11.7,6.0,40.0,Health
Veeva Systems Inc.,California,VEEV,New York,0.0,1170.0,1170.0,2013-10-16,11.4,20.0,260.9,IT
Venator Materials Plc,Virginia,VNTR,New York,0.0,1.3,224.0,2017-08-03,12.2,20.0,454.0,Chemical
Venoco Inc,Colorado,VQ,New York,152.9,529.6,889.2,2005-12-19,7.7,17.0,212.5,Oil
Vera Bradley Inc.,Indiana,VRA,Nasdaq,88.4,1354.1,1442.5,2010-10-21,8.2,16.0,176.0,Retail
Verastem Inc.,Massachusetts,VSTM,Nasdaq,0.0,3.6,11.7,2012-01-27,7.3,10.0,55.0,Health
Verasun Energy Corp,South Dakota,VSE,New York,0.0,208.8,413.5,2006-03-30,7.5,23.0,419.8,Chemical
Veri-Tek International Corp,Michigan,VCC,American,0.0,0.0,9.9,2004-09-03,10.5,6.0,15.0,Machinery
VeriChip Corp,Florida,CHIP,Nasdaq,0.0,11.3,50.9,2005-12-29,37.3,6.5,20.2,Machinery
VeriSign Inc,Virginia,VRSN,Nasdaq,0.0,0.0,25.1,1997-11-21,9.1,14.0,42.0,IT
Veritex Holdings Inc.,Texas,VBTX,Nasdaq,0.0,0.0,63.0,2014-10-09,9.2,13.0,35.1,Finance
Veritone Inc.,California,VERI,Nasdaq,0.0,0.2,2084.5,2017-05-12,7.4,15.0,37.5,IT
Verona Pharma Plc,Massachusetts,VRNA,Nasdaq,0.0,1984.3,1984.3,2017-04-27,11.0,13.5,77.9,Health
Viking Therapeutics Inc.,California,VKTX,Nasdaq,0.0,0.0,107.8,2015-04-29,5.5,8.0,24.0,Health
Vince Holding Corp,New York,VNCE,New York,10.7,85.1,257.8,2013-11-22,5.1,20.0,200.0,Retail
Violin Memory Inc,California,VMEM,New York,0.0,0.0,112.9,2012-02-22,9.4,9.0,162.0,IT
Viper Energy Partners Lp,Texas,VNOM,Nasdaq,0.0,24.9,2002.0,2014-06-18,6.1,26.0,130.0,Oil
Vipshop Holdings Ltd,Idaho,VIPS,New York,119.3,0.2,119.5,2012-03-23,9.6,6.5,71.5,Retail
Virtu Financial Inc,New York,VIRT,Nasdaq,336.2,1369.5,4099.5,2013-12-18,9.8,19.0,314.1,Finance
Virtusa Corp,Massachusetts,VRTU,Nasdaq,0.0,0.0,102.1,2007-04-06,13.8,14.0,61.6,IT
Visa Inc,California,V,New York,0.0,40.0,27742.0,2007-11-09,3.0,44.0,17864.0,Finance
Visicu Inc,Maryland,EICU,Nasdaq,0.0,0.0,38.2,2005-11-29,8.6,16.0,96.0,IT
Vivint Solar Inc.,Utah,VSLR,New York,3.2,0.0,8.7,2014-10-01,10.9,16.0,329.6,IT
Vocera Communications Inc.,California,VCRA,New York,549.8,0.1,863.8,2012-03-28,12.7,16.0,93.6,IT
Volcom Inc,California,VLCM,Nasdaq,0.0,0.2,33.3,2005-04-29,8.6,19.0,89.1,Clothes
Voxeljet Ag,New Jersey,VJET,New York,0.0,0.0,54.9,2013-10-18,11.7,13.0,84.5,IT
Voyager Therapeutics Inc.,Massachusetts,VYGR,Nasdaq,0.0,0.0,202.9,2015-11-11,7.5,14.0,70.0,Health
W&T Offshore Inc,Texas,WTI,New York,396.4,0.0,760.8,2004-05-03,7.5,19.0,240.4,Oil
WCI Communities Inc,Florida,WCIC,New York,37.2,200.0,367.4,2013-04-26,10.7,15.0,102.3,Services
WL Ross Holding Corp,New York,WLRHU,Nasdaq,0.0,0.0,0.2,2014-05-09,4.6,10.0,435.0,Finance
WPT Enterprises Inc,California,WPTE,Nasdaq,0.0,0.0,2.5,2004-04-15,9.6,8.0,32.0,Media
WageWorks Inc,California,WAGE,New York,28.3,0.0,369.1,2011-04-25,14.1,9.0,58.5,Consulting
Walker & Dunlop Inc.,Maryland,WD,New York,18.0,13.4,40372.5,2010-12-15,4.0,10.0,100.0,Finance
Warren Resources Inc,New York,WRES,Nasdaq,0.0,32.4,154.8,2004-08-25,8.2,7.5,71.3,Oil
Warrior Met Coal Inc.,Alabama,HCC,New York,0.0,2461.8,2474.0,2017-04-13,9.6,19.0,316.7,Chemical
Watson Pharmaceuticals Inc,New Jersey,WPI,Nasdaq,8.1,2.1,31.3,1992-03-06,9.3,12.0,43.2,Chemical
Wave Life Sciences Ltd,Maine,WVE,Nasdaq,0.0,0.0,17.4,2015-11-11,6.8,16.0,102.0,Health
Wayfair Inc.,Massachusetts,W,New York,85.1,86.5,171.6,2014-10-02,9.7,29.0,319.0,Retail
Wesco Aircraft Holdings Inc.,California,WAIR,New York,158.5,0.1,158.6,2011-07-28,7.2,15.0,315.0,Machinery
Wesco International Inc,Pennsylvania,WCC,New York,61.4,476.5,994.9,1999-03-03,5.5,18.0,175.1,Energy
West Corp,Nebraska,WSTC,Nasdaq,655.1,3587.4,3448.2,2009-10-02,6.6,20.0,425.5,Consulting
Wheeler Real Estate Investment Trust Inc.,Virginia,WHLR,Nasdaq,5542.1,35412.4,40954.5,2012-11-19,9.1,5.3,21.0,Finance
Whitestone Reit,Texas,WSR,American,347.1,262.1,837.2,2010-08-26,12.7,12.0,26.4,Finance
Whiting Petroleum Corp,Colorado,WLL,New York,0.0,188.0,502.5,2003-07-25,7.4,15.5,232.5,Oil
Wideopenwest Inc.,Colorado,WOW,New York,81.3,0.0,7391.2,2017-05-25,6.0,17.0,310.0,Communications
Willdan Group Inc,California,WLDN,Nasdaq,0.0,0.4,37.8,2006-08-09,13.0,10.0,29.0,Engineering
Wingstop Inc.,Texas,WING,Nasdaq,0.0,0.2,338.4,2015-06-12,2.0,19.0,110.2,Retail
WixCom Ltd,Maryland,WIX,Nasdaq,136.7,1.7,138.4,2013-11-06,16.0,16.5,127.1,IT
Workday Inc.,California,WDAY,New York,120.2,1.3,121.5,2012-10-12,5.2,28.0,637.0,IT
Workiva Inc.,Iowa,WK,New York,0.0,0.0,81.7,2014-12-12,6.0,14.0,100.8,IT
Wynn Resorts Ltd,Nevada,WYNN,Nasdaq,0.0,382.2,578.8,2002-06-17,4.4,13.0,450.0,Services
Xactly Corp,California,XTLY,New York,0.0,21.5,54.5,2015-05-19,12.0,8.0,56.3,IT
Xbiotech Inc.,Texas,XBIT,Nasdaq,0.0,70.0,139.3,2015-04-15,14.3,19.0,76.0,Health
Xencor Inc.,California,XNCR,Nasdaq,0.0,478.7,926.7,2013-12-03,6.9,5.5,70.0,Health
Xenon Pharmaceuticals Inc.,Maine,XENE,Nasdaq,0.0,0.0,2.8,2014-11-05,7.2,9.0,36.0,Health
Xplore Technologies Corp,Texas,XPLR,Nasdaq,3.4,0.0,11.6,2012-07-26,19.9,5.0,10.0,Energy
Xunlei Ltd,Nevada,XNET,Nasdaq,0.0,0.0,240.6,2014-06-24,11.6,12.0,87.8,IT
Yandex NV,Oklahoma,YNDX,Nasdaq,0.0,0.0,3.0,2011-05-24,5.3,25.0,1304.4,IT
Yelp Inc.,California,YELP,New York,0.0,404.3,421.3,2012-03-02,11.0,15.0,107.3,IT
Yext Inc.,New York,YEXT,New York,0.0,0.0,292.4,2017-04-13,10.0,11.0,115.5,IT
Yintech Investment Holdings Ltd,New Jersey,YIN,Nasdaq,0.0,0.0,131856.1,2016-04-27,5.9,13.5,101.3,Finance
Yirendai Ltd,New York,YRD,New York,0.0,0.0,691.9,2015-12-18,8.7,10.0,75.0,Finance
Yogaworks Inc.,California,YOGA,Nasdaq,0.0,1061.5,1065.4,2017-08-11,10.5,5.5,40.2,Retail
Yy Inc.,Ohio,YY,Nasdaq,0.0,115.2,115.2,2012-11-21,14.0,10.5,81.9,IT
Zai Lab Ltd,District of Columbia,ZLAB,Nasdaq,0.0,0.0,123.8,2017-09-20,8.2,18.0,150.0,Health
Zayo Group Holdings Inc.,Colorado,ZAYO,New York,0.0,170.8,811.3,2014-10-17,7.8,19.0,400.0,IT
Zealand Pharma A/S,Rhode Island,ZEAL,Nasdaq,0.0,0.0,92.0,2017-08-09,13.7,17.9,78.2,Health
Zendesk Inc.,California,ZEN,New York,0.0,24.8,1254.9,2014-05-15,11.8,9.0,100.0,IT
Zillow Inc,Washington,Z,Nasdaq,0.0,0.0,33.9,2011-03-16,11.1,20.0,69.2,IT
Zipcar Inc,Massachusetts,ZIP,Nasdaq,8.0,55.7,248.9,2009-06-10,8.0,18.0,174.3,Transport
Zk International Group Co Ltd,Virginia,ZKIN,Nasdaq,0.0,201.9,224.3,2017-09-01,9.4,5.0,5.3,Chemical
Zoetis Inc,New Jersey,ZTS,New York,941.0,3640.0,6046.0,2012-02-20,3.7,26.0,2238.6,Chemical
Zogenix Inc.,California,ZGNX,Nasdaq,0.0,0.0,186.1,2010-11-23,18.2,4.0,56.0,Health
Zosano Pharma Corp,California,ZSAN,Nasdaq,0.0,2431.9,2431.9,2015-01-27,11.1,11.0,49.5,Health
Zto Express (Cayman) Inc.,Connecticut,ZTO,New York,0.0,110.5,732.2,2016-10-27,4.5,19.5,1406.0,Machinery
Zymeworks Inc.,New Jersey,ZYME,New York,0.0,0.0,25.0,2017-04-28,12.2,13.0,58.5,Health
ZymoGenetics Inc,Washington,ZGEN,Nasdaq,0.0,0.0,326.1,2001-09-10,9.1,12.0,107.3,Agriculture
Zynerba Pharmaceuticals Inc.,Pennsylvania,ZYNE,Nasdaq,14.7,3.3,18.0,2015-08-05,9.8,14.0,42.0,Health
Zynga Inc.,California,ZNGA,Nasdaq,49.2,12.7,303.3,2011-12-16,8.4,10.0,1000.0,IT
eHealth Inc,California,EHTH,Nasdaq,0.0,0.0,23.0,2006-04-25,12.1,14.0,70.0,Finance
